Place,Name,Rating,Reviews,Address,Zip Code,Phone,Website
New York city,Gramercy Tavern,4.6,"4,620","42 E 20th St, New York, NY 10003, United States",10003,+1 212-477-0777,https://www.gramercytavern.com/
New York city,Piccola Cucina Osteria Siciliana,4.6,"2,355","196 Spring St, New York, NY 10012, United States",10012,+1 646-478-7488,http://www.piccolacucinagroup.com/
New York city,Petite Boucherie,4.7,"1,926","First Floor, 14 Christopher St, New York, NY 10014, United States",10014,+1 646-756-4145,https://www.boucherieus.com/
New York city,Manhatta,4.7,"3,129","28 Liberty St 60th floor, New York, NY 10005, United States",10005,+1 212-230-5788,https://www.manhattarestaurant.com/
New York city,LOS TACOS No.1,4.7,"5,050","75 9th Ave, New York, NY 10011, United States",10011,,https://www.lostacos1.com/
New York city,1803 NYC,4.5,"1,962","82 Reade St, New York, NY 10007, United States",10007,+1 212-267-3000,https://1803nyc.com/
New York city,Le Bernardin,4.6,"3,999","155 W 51st St, New York, NY 10019, United States",10019,+1 212-554-1515,https://www.le-bernardin.com/home
New York city,Via Carota,4.4,"3,053","51 Grove St, New York, NY 10014, United States",10014,,http://viacarota.com/
New York city,Minetta Tavern,4.5,"2,595","113 MacDougal St, New York, NY 10012, United States",10012,+1 212-475-3850,http://www.minettatavernny.com/
New York city,Piccola Cucina Estiatorio,4.6,"1,818","75 Thompson St, New York, NY 10012, United States",10012,+1 646-781-9183,http://www.piccolacucinagroup.com/
New York city,Hole In The Wall - FiDi,4.8,"3,113","15 Cliff St, New York, NY 10038, United States",10038,+1 212-602-9991,http://www.holeinthewallnyc.com/fidi
New York city,The Smith,4.4,"6,008","1150 Broadway, New York, NY 10010, United States",10010,+1 212-685-4500,https://thesmithrestaurant.com/location/nomad/
New York city,O'Hara's Restaurant and Pub,4.6,"5,450","120 Cedar St, New York, NY 10006, United States",10006,+1 212-267-3032,https://oharasrestaurantandpub.site/
New York city,Nobu Downtown,4.4,"1,882","195 Broadway, New York, NY 10007, United States",10007,+1 212-219-0500,https://www.noburestaurants.com/downtown/home/
New York city,Coppelia,4.5,"3,648","207 W 14th St, New York, NY 10011, United States",10011,+1 212-858-5001,http://ilovecoppelia.com/
New York city,Brooklyn Chop House Steakhouse Downtown NYC,4.2,"1,972","150 Nassau St, New York, NY 10038, United States",10038,+1 212-619-1200,https://www.brooklynchophouse.com/
New York city,Kuu,4.5,"2,364","20 John St, New York, NY 10038, United States",10038,+1 212-571-7177,https://rebrand.ly/kuu-ny
New York city,Chambers,4.7,301,"94 Chambers St #1, New York, NY 10007, United States",10007,+1 212-580-3572,http://chambers.nyc/
New York city,Eataly,4.2,"6,087","101 Liberty St, New York, NY 10007, United States",10007,+1 212-897-2895,https://www.eataly.com/us_en/stores/nyc-downtown/restaurants
New York city,Da Claudio NYC Ristorante,4.5,836,"21 Ann St, New York, NY 10038, United States",10038,+1 212-285-2668,http://www.daclaudionyc.com/
New York city,Le Bernardin,4.6,"3,999","155 W 51st St, New York, NY 10019, United States",10019,+1 212-554-1515,https://www.le-bernardin.com/home
New York city,Ocean Prime,4.6,"2,491","123 W 52nd St, New York, NY 10019, United States",10019,+1 212-956-1404,https://www.ocean-prime.com/locations/new-york-city
New York city,Coppelia,4.5,"3,648","207 W 14th St, New York, NY 10011, United States",10011,+1 212-858-5001,http://ilovecoppelia.com/
New York city,Nobu Downtown,4.4,"1,882","195 Broadway, New York, NY 10007, United States",10007,+1 212-219-0500,https://www.noburestaurants.com/downtown/home/
New York city,La Pecora Bianca Bryant Park,4.7,"4,625","20 W 40th St, New York, NY 10018, United States",10018,+1 212-924-4040,https://www.lapecorabianca.com/
